(15, 27)
(14, 28)
(14, 29)
(13, 30)
(13, 31)
(12, 32)
(12, 33)
(11, 34)
(11, 35)
(10, 36)
(10, 37)
(9, 38)
(9, 39)
(8, 40)
(8, 41)
(7, 42)
(7, 43)
(6, 44)
(6, 45)
(5, 46)
(5, 47)
(4, 48)
(4, 49)
(3, 50)
(3, 51)
(2, 52)
(2, 53)
(1, 54)
(1, 55)
(0, 56)
(0, 57)
(-1, 58)
(-1, 59)
(-2, 60)
(-2, 61)
(-3, 62)
(-3, 63)
(-4, 64)
(-4, 65)
(-5, 66)
(-5, 67)
(-6, 68)
(-6, 69)
(-7, 70)
(-7, 71)
(-8, 72)
(-8, 73)
(-9, 74)
(-9, 75)
(-10, 76)
(-10, 77)
(-11, 78)
(-11, 79)
(-12, 80)
(-12, 81)
(-12, 82)
(-12, 83)
(-12, 84)
(-12, 85)
(-12, 86)
(-12, 87)
(-12, 88)
(-12, 89)
(-12, 90)
(-12, 91)
(-11, 91)
(-10, 91)
(-10, 92)
(-10, 93)
(-10, 94)
(-10, 95)
(-9, 95)
(-8, 95)
(-7, 95)
(-7, 96)
(-7, 97)
(-7, 98)
(-7, 99)
(-7, 100)
(-6, 100)
(-5, 100)
(-5, 101)
(-5, 102)
(-5, 103)
(-5, 104)
(-5, 105)
(-5, 106)
(-4, 106)
(-4, 107)
(-3, 107)
(-3, 108)
(-3, 109)
(-3, 110)
(-3, 111)
(-3, 112)
(-2, 112)
(-2, 113)
(-1, 113)
(-1, 114)
(-1, 115)
(-1, 116)
(-1, 117)
(-1, 118)
(0, 118)
(0, 119)
(0, 120)
(0, 121)
(0, 122)
(0, 123)
(0, 124)
(0, 125)
(1, 125)
(1, 126)
(1, 127)
(1, 128)
(1, 129)
(1, 130)
(1, 131)
(1, 132)
(1, 133)
(2, 133)
(2, 134)
(2, 135)
(2, 136)
(2, 137)
(2, 138)
(2, 139)
(2, 140)
(2, 141)
(2, 142)
(2, 143)
(3, 143)
